3alpha_code,name_en,scientific_name,genus,family,major_group,isscaap_group,name_no_nei,fao_group,match_category,species
dyk,NA,NA,NA,NA,NA,NA,NA,NA,NA,dysalotus alcocki
kai,NA,NA,NA,NA,NA,NA,NA,NA,NA,kali indica
udi,NA,NA,NA,NA,NA,NA,NA,NA,NA,pseudoscopelus altipinnis
fkz,NA,NA,NA,NA,NA,NA,NA,NA,NA,snaketooth fishes nei
cfg,NA,NA,NA,NA,NA,NA,NA,NA,NA,caristius fasciatus
cmz,NA,NA,NA,NA,NA,NA,NA,NA,NA,manefish
cwn,NA,NA,NA,NA,NA,NA,NA,NA,NA,manefishes nei
sxh,NA,NA,NA,NA,NA,NA,NA,NA,NA,longfin escolar
dlt,NA,NA,NA,NA,NA,NA,NA,NA,NA,striped escolar
emg,NA,NA,NA,NA,NA,NA,NA,NA,NA,domine
ges,NA,NA,NA,NA,NA,NA,NA,NA,NA,snake mackerel
snk,snoek,thyrsites atun,thyrsites,gempylidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,snoek
lec,escolar,lepidocybium flavobrunneum,lepidocybium,gempylidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,escolar
nlt,NA,NA,NA,NA,NA,NA,NA,NA,NA,black snake mackerel
nim,NA,NA,NA,NA,NA,NA,NA,NA,NA,american sackfish
skd,NA,NA,NA,NA,NA,NA,NA,NA,NA,sackfish
nen,NA,NA,NA,NA,NA,NA,NA,NA,NA,black gemfish
tez,antarctic escolar,paradiplospinus antarcticus,paradiplospinus,gempylidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,antarctic escolar
pdg,NA,NA,NA,NA,NA,NA,NA,NA,NA,slender escolar
prp,roudi escolar,promethichthys prometheus,promethichthys,gempylidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,roudi escolar
rxa,NA,NA,NA,NA,NA,NA,NA,NA,NA,long-finned escolar
rqb,NA,NA,NA,NA,NA,NA,NA,NA,NA,bengal escolar
rbj,NA,NA,NA,NA,NA,NA,NA,NA,NA,short-lined escolar
rmw,NA,NA,NA,NA,NA,NA,NA,NA,NA,nakamura's escolar
rxp,NA,NA,NA,NA,NA,NA,NA,NA,NA,royal escolar
gem,silver gemfish,rexea solandri,rexea,gempylidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,silver gemfish
rxx,NA,NA,NA,NA,NA,NA,NA,NA,NA,rexea spp
rxj,NA,NA,NA,NA,NA,NA,NA,NA,NA,paxton's escolar
oil,oilfish,ruvettus pretiosus,ruvettus,gempylidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,oilfish
wsm,white snake mackerel,thyrsitops lepidopoides,thyrsitops,gempylidae,pisces,miscellaneous demersal fishes,NA,yes,en_name,white snake mackerel
thm,NA,NA,NA,NA,NA,NA,NA,NA,NA,black snoek
tbs,NA,NA,NA,NA,NA,NA,NA,NA,NA,tonga escolar
gep,"snake mackerels, escolars nei",gempylidae,gempylidae,gempylidae,pisces,miscellaneous demersal fishes,"snake mackerels, escolars",yes,en_name,"snake mackerels, escolars nei"
bsf,black scabbardfish,aphanopus carbo,aphanopus,trichiuridae,pisces,miscellaneous demersal fishes,NA,yes,en_name,black scabbardfish
aph,intermediate scabbardfish,aphanopus intermedius,aphanopus,trichiuridae,pisces,miscellaneous demersal fishes,NA,yes,en_name,intermediate scabbardfish
ddj,NA,NA,NA,NA,NA,NA,NA,NA,NA,smalleye scabbardfish
box,NA,NA,NA,NA,NA,NA,NA,NA,NA,aphanopus spp
asz,NA,NA,NA,NA,NA,NA,NA,NA,NA,razorback scabbardfish
bdl,NA,NA,NA,NA,NA,NA,NA,NA,NA,elongate frostfish
bdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,bigeye frostfish
dqz,NA,NA,NA,NA,NA,NA,NA,NA,NA,north atlantic frostfish
bwn,NA,NA,NA,NA,NA,NA,NA,NA,NA,slender frostfish
beh,frostfishes,benthodesmus spp,benthodesmus,trichiuridae,pisces,miscellaneous demersal fishes,NA,yes,en_name,frostfishes
ewk,NA,NA,NA,NA,NA,NA,NA,NA,NA,longtooth hairtail
egm,NA,NA,NA,NA,NA,NA,NA,NA,NA,smallhead hairtail
evp,NA,NA,NA,NA,NA,NA,NA,NA,NA,poey's scabbardfish
sfs,silver scabbardfish,lepidopus caudatus,lepidopus,trichiuridae,pisces,miscellaneous demersal fishes,NA,yes,en_name,silver scabbardfish
uef,NA,NA,NA,NA,NA,NA,NA,NA,NA,doubtful scabbardfish
sdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,pacific scabbardfish
lkp,NA,NA,NA,NA,NA,NA,NA,NA,NA,coromandel hairtail
svh,NA,NA,NA,NA,NA,NA,NA,NA,NA,savalai hairtail
tkr,NA,NA,NA,NA,NA,NA,NA,NA,NA,crested hairtail
jsu,NA,NA,NA,NA,NA,NA,NA,NA,NA,pearly hairtail
