dataset,flag,geartype,hours,mmsi,shipName,vesselId,vesselType,value,activityDatasetId,flagTranslated
public-global-vessel-identity:v3.0,ESP,Other purse seines,478.3441286111111,224101860,NUEVO CREADOR,472fe51ed-d4a0-d6bc-a16d-b246420a9488,FISHING,478.3441286111111,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Other purse seines,475.5858333333335,224087790,ATTONA DOMINGO,55bed9435-5526-b70a-3bb2-320a90027833,FISHING,475.5858333333335,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,474.18888888888864,228355800,F/V LUANTSA,9b9c5298d-d55b-ec82-0404-bd2f91c6eedf,FISHING,474.18888888888864,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,471.1169444444444,225985384,KANTAURI,b95e32108-8349-2e77-40c5-4cac4ba374f0,FISHING,471.1169444444444,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Set gillnet,470.8427777777777,224254750,AMETS,c1f5ce25d-d360-589f-f1e3-865379f6c7de,FISHING,470.8427777777777,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,469.9080555555555,227625350,F/V SOURIRE DE L`ILE,efc23bb7f-fcf9-64e7-083f-aae21857eea7,FISHING,469.9080555555555,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Other purse seines,469.1927777777778,224086130,NVO VIRGEN PODEROSA,d6e16c9c6-694d-77cc-850e-d0557b7bb542,FISHING,469.1927777777778,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Fixed gear,462.71916666666664,224250590,MARINEL,829158e43-3956-45a4-b624-0ade5e62d946,FISHING,462.71916666666664,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Fixed gear,462.5683333333333,224097980,GURE AMETXA,eeb4a64e4-43fe-22db-9c0a-7371f49ef111,FISHING,462.5683333333333,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,ESP,Fishing,461.2333333333333,224081840,GURE FATIMA,62b19c5d6-61ac-deb4-e1e7-d8389bd5f547,FISHING,461.2333333333333,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Trawler,460.6086541666666,228133000,F/V LES VIKINGS 2,ff5112117-77ce-8b15-847c-94af137d92cd,FISHING,460.6086541666666,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,FRA,Set gillnet,452.62570583333337,227561000,F/V STERNE III,10f726a8e-ef89-154c-ace0-9d4ae99b1c7e,FISHING,452.62570583333337,public-global-fishing-effort:v3.0,France
public-global-vessel-identity:v3.0,ESP,Set gillnet,445.2391666666667,224063730,BIHOTZ ALAI,a8e0f8196-644c-c9ec-e89b-b8187ef8fd7c,FISHING,445.2391666666667,public-global-fishing-effort:v3.0,Spain
public-global-vessel-identity:v3.0,FRA,Set gillnet,444.51500000000004,227303130,F/V ZEPHIR III,4b03882b4-4d7a-ef08-4de8-a735768be3db,FISHING,444.51500000000004,public-global-fishing-effort:v3.0,France
